iter	Passed	Remaining
0	146	146182
1	150	74980
2	153	51031
3	156	38946
4	159	31812
5	163	27045
6	166	23581
7	169	21006
8	172	19009
9	176	17461
10	179	16150
11	183	15106
12	187	14269
13	192	13531
14	196	12885
15	199	12257
16	202	11730
17	207	11311
18	210	10860
19	213	10442
20	216	10088
21	219	9745
22	222	9438
23	225	9151
24	227	8886
25	232	8724
26	236	8509
27	239	8297
28	241	8101
29	245	7944
30	249	7785
31	252	7624
32	254	7468
33	257	7319
34	262	7239
35	265	7112
36	268	6976
37	270	6849
38	274	6754
39	277	6650
40	280	6553
41	282	6454
42	285	6352
43	289	6281
44	292	6197
45	294	6109
46	297	6037
47	300	5961
48	303	5887
49	306	5824
50	309	5765
51	312	5700
52	316	5652
53	321	5624
54	326	5608
55	329	5559
56	334	5530
57	337	5480
58	341	5439
59	348	5458
60	355	5475
61	365	5532
62	369	5502
63	374	5480
64	380	5477
65	384	5447
66	388	5415
67	392	5380
68	394	5317
69	400	5322
70	403	5273
71	412	5316
72	416	5294
73	420	5256
74	423	5221
75	427	5192
76	431	5174
77	440	5204
78	446	5201
79	451	5192
80	453	5144
81	458	5132
82	463	5122
83	470	5129
84	490	5283
85	496	5275
86	500	5252
87	505	5235
88	512	5245
89	522	5278
90	526	5256
91	533	5261
92	536	5234
93	541	5216
94	544	5189
95	548	5166
96	552	5145
97	557	5127
98	562	5119
99	580	5225
100	583	5197
101	587	5168
102	592	5163
103	596	5143
104	600	5115
105	603	5092
106	607	5074
107	611	5053
108	615	5028
109	619	5009
110	622	4985
111	625	4958
112	626	4918
113	629	4890
114	635	4889
115	639	4871
116	643	4855
117	646	4830
118	650	4813
119	653	4790
120	656	4766
121	659	4746
122	663	4733
123	666	4710
124	670	4692
125	674	4675
126	679	4670
127	684	4663
128	688	4646
129	692	4631
130	699	4643
131	705	4636
132	709	4627
133	713	4613
134	717	4598
135	721	4586
136	725	4570
137	728	4551
138	731	4534
139	735	4517
140	740	4511
141	744	4497
142	747	4478
143	752	4474
144	756	4460
145	759	4442
146	762	4426
147	768	4424
148	772	4411
149	776	4400
150	779	4382
151	784	4374
152	788	4365
153	792	4356
154	796	4342
155	799	4327
156	803	4313
157	806	4297
158	810	4287
159	814	4275
160	817	4260
161	820	4244
162	823	4228
163	826	4213
164	829	4200
165	832	4184
166	835	4167
167	838	4151
168	841	4136
169	844	4121
170	846	4105
171	849	4090
172	852	4075
173	856	4064
174	859	4051
175	862	4038
176	865	4024
177	868	4010
178	871	3998
179	874	3984
180	877	3972
181	881	3963
182	885	3952
183	888	3939
184	891	3928
185	894	3916
186	898	3907
187	902	3897
188	905	3885
189	908	3873
190	912	3863
191	915	3851
192	918	3839
193	921	3827
194	924	3816
195	927	3806
196	930	3794
197	934	3784
198	937	3773
199	941	3765
200	945	3756
201	948	3745
202	951	3734
203	954	3723
204	957	3713
205	961	3705
206	964	3693
207	967	3684
208	971	3676
209	975	3671
210	979	3662
211	983	3654
212	986	3645
213	989	3635
214	992	3625
215	996	3616
216	999	3606
217	1002	3596
218	1005	3586
219	1008	3576
220	1012	3569
221	1016	3563
222	1020	3555
223	1023	3546
224	1026	3537
225	1030	3527
226	1033	3518
227	1035	3507
228	1038	3497
229	1041	3486
230	1044	3475
231	1047	3466
232	1050	3456
233	1052	3445
234	1055	3435
235	1058	3425
236	1061	3418
237	1064	3407
238	1067	3397
239	1069	3387
240	1072	3377
241	1076	3370
242	1078	3361
243	1081	3351
244	1084	3342
245	1088	3335
246	1091	3327
